record_time,product_name,recipe_name,event_type,result,message,runtime_state
2026-03-24 10:16:35,20261026_250A,line2dup_recipe.json,runtime_error_lock,locked,please generate and save a line2dup template first,WaitingTrigger
2026-03-24 10:27:14,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 574 ms,LockedByNg
2026-03-24 10:27:19,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:27:26,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 10:27:26,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.2 ms；match 401.9 ms；infer 513.8 ms；耗时 1316 ms,LockedByNg
2026-03-24 10:27:30,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:27:40,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 10:27:47,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 682 ms,LockedByNg
2026-03-24 10:27:55,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:28:04,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 10:28:04,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 773 ms,LockedByNg
2026-03-24 10:28:08,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:41:16,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 22.2 ms；match 418.1 ms；infer 603.7 ms；耗时 1533 ms,LockedByNg
2026-03-24 10:41:21,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:41:32,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 10:41:39,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.3 ms；match 420.4 ms；infer 585.3 ms；耗时 1504 ms,LockedByNg
2026-03-24 10:41:43,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:41:53,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 10:41:53,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 22.0 ms；match 425.0 ms；infer 585.2 ms；耗时 1518 ms,LockedByNg
2026-03-24 10:41:57,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:42:08,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 10:42:20,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.9 ms；match 432.9 ms；infer 600.1 ms；耗时 1549 ms,LockedByNg
2026-03-24 10:42:24,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:42:51,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 10:42:51,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.9 ms；match 528.2 ms；infer 573.1 ms；耗时 1603 ms,LockedByNg
2026-03-24 10:42:55,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 10:43:36,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 10:43:36,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 22.5 ms；match 415.0 ms；infer 605.1 ms；耗时 1540 ms,LockedByNg
2026-03-24 10:43:39,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 11:08:02,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 695 ms,LockedByNg
2026-03-24 11:08:06,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 11:08:14,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 11:08:14,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.6 ms；match 504.1 ms；infer 528.5 ms；耗时 1445 ms,LockedByNg
2026-03-24 11:08:17,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 11:31:28,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；MV_CC_GetImageBuffer failed with sdk code=0x80000000；耗时 20 ms,LockedByNg
2026-03-24 11:31:32,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 11:38:41,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 1125 ms,LockedByNg
2026-03-24 11:38:46,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 11:38:49,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 12:13:55,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.7 ms；match 440.9 ms；infer 493.4 ms；耗时 1368 ms,LockedByNg
2026-03-24 12:14:01,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 12:14:10,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 12:14:18,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.6 ms；match 530.9 ms；infer 591.6 ms；耗时 1542 ms,LockedByNg
2026-03-24 12:14:24,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 12:14:30,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=OK",WaitingTrigger
2026-03-24 12:14:35,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.4 ms；match 588.2 ms；infer 509.7 ms；耗时 1535 ms,LockedByNg
2026-03-24 12:14:38,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 12:15:02,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 12:15:02,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.9 ms；match 849.7 ms；infer 498.3 ms；耗时 1777 ms,LockedByNg
2026-03-24 12:15:06,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 12:15:16,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 12:15:16,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 21.6 ms；match 653.3 ms；infer 511.0 ms；耗时 1595 ms,LockedByNg
2026-03-24 12:15:20,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 13:26:32,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；line2dup did not find any match；耗时 568 ms,LockedByNg
2026-03-24 13:26:36,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 13:29:57,20261026_250A,line2dup_recipe.json,release_consumed,consumed,"release consumed when valid inspection started, result=NG",LockedByNg
2026-03-24 13:29:57,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 22.7 ms；match 636.1 ms；infer 518.0 ms；耗时 1617 ms,LockedByNg
2026-03-24 13:30:03,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
2026-03-24 13:32:51,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 107.9 ms；match 797.6 ms；infer 482.4 ms；耗时 1797 ms,LockedByNg
2026-03-24 13:47:14,20261026_250A,line2dup_recipe.json,ng_lock,locked,cam1=NG；capture 118.8 ms；match 725.3 ms；infer 539.0 ms；耗时 1845 ms,LockedByNg
2026-03-24 13:47:18,20261026_250A,line2dup_recipe.json,release_request,granted,密码正确，已放行一次,ReleasedPendingConsume
